岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,公司规模,岗位需要技能
嵌入式软件开发工程师,35-45K,5-10年，本科,上海·浦东新区·张江,法定节假日三薪，带薪年假，补充医疗保险，五险一金，年终奖，通讯补贴，餐补，加班补助，定期体检，节日福利，生日福利，交通补助，免费班车，零食下午茶,紫光展锐,电子/半导体/集成电路，未融资,通信相关专业，RTOS/操作系统，threadx，freertos
嵌入式软件开发工程师,8-13K·13薪,1-3年，本科,宁波·海曙区·梁祝文化小镇,,宁波纺织仪器厂,仪器仪表/工业自动化，20-99人,C++，电气电气/自动化相关专业，嵌入式/单片机开发经验
上位机软件开发工程师,9-10K,1-3年，本科,北京·朝阳区·大望路,,尼西泰润,医疗健康，0-20人,C/C++
单片机软件开发工程师,12-20K,1-3年，本科,长沙·岳麓区·青山镇,五险一金,北斗微芯公司,通信/网络设备，未融资，20-99人,C++，STM32开发，计算机相关专业，嵌入式软件开发
（初级）软件测试自动化开发工程师,6-8K,1-3年，本科,广州·天河区·冼村,零食下午茶，定期体检，年终奖，加班补助，五险一金,云岫科技,互联网，未融资，20-99人,自动化测试，测试开发，软件测试
无人驾驶软件架构师,15-30K,5-10年，本科,北京·海淀区·五道口,包吃，股票期权，年终奖，定期体检，补充医疗保险，五险一金,Momenta,互联网，C轮，500-999人,系统架构，高级技术管理
嵌入式软件开发工程师,6-10K,3-5年，本科,安阳,宿舍有空调，定期体检，团建聚餐，绩效奖金，有无线网，生日福利，年终奖，员工旅游，包住，节日福利，五险一金,翔宇医疗,医疗设备/器械，已上市，1000-9999人,嵌入式技术，嵌入式软件开发，ARM开发，C语言，Linux
嵌入式软件开发工程师,15-22K·13薪,3-5年，本科,宁波,五险一金,极限科技,通信/网络设备，0-20人,C++，嵌入式技术，RTOS，嵌入式软件开发，驱动开发
高级软件全栈开发工程师,13-25K·16薪,3-5年，本科,哈尔滨·道里区·群力,绩效奖金，年终奖，免费工装，有无线网，生日福利，节日福利，零食下午茶，带薪年假，股票期权，节假日加班费，加班补助，住房补贴，团建聚餐，定期体检，五险一金,元始智能科技,互联网，A轮，20-99人,全栈侧重后端，JavaScript，C/C++，Python
嵌入式软件开发工程师,10-15K,1-3年，本科,杭州·滨江区·浦沿,股票期权，补充医疗保险，年终奖，交通补助，节日福利，工龄奖，五险一金，团建聚餐，零食下午茶，全勤奖，员工旅游，节假日加班费，生日福利,星科云,通信/网络设备，未融资，0-20人,ARM，嵌入式，c/c++
嵌入式软件开发工程师,11-20K·13薪,1年以内，大专,武汉·武昌区·水果湖,全勤奖，交通补助，年终奖，五险一金，住房补贴，绩效奖,湖北楚天龙,数据服务，未融资，100-499人,C，STM32开发，ARM开发，计算机相关专业，通信相关专业
嵌入式软件开发工程师,15-25K,3-5年，本科,北京·昌平区·南邵,五险一金，加班补助，年终奖，股票期权，带薪年假，员工旅游，节日福利,朗深科技,互联网，未融资，0-20人,STM32开发，系统集成，通信相关专业，C
嵌入式软件开发工程师（车载）,18-35K,3-5年，本科,上海·浦东新区·合庆,住房补贴，绩效奖金，年终奖，包住，五险一金,创青汇,计算机软件，20-99人,C，C++，STM32开发，mcu，嵌入式，车载
嵌入式软件工程师（算法开发方向）,15-27K·13薪,经验不限，本科,福州,定期体检，员工旅游，节日福利，生日福利，带薪考驾照，五险一金，年终奖，加班补助，带薪年假，餐补,AIGOSTAR,贸易/进出口，不需要融资，500-999人,C++，嵌入式技术，Linux，FreeRTOS，嵌入式软件开发
前后端/移动端-开发专家/架构师,25-45K,5-10年，本科,北京·朝阳区·望京,股票期权，节日福利，定期体检，五险一金，免费班车，交通补助，员工旅游，餐补，年终奖，带薪年假，补充医疗保险,高德地图,互联网，已上市，1000-9999人,Java，JavaScript，Python，C++，Objective-C，Swift
软件研发经理,11-20K,3-5年，本科,北京·朝阳区·北沙滩,餐补，带薪年假，五险一金，零食下午茶，通讯补贴,庆瑞霖,通信/网络设备，20-99人,Java，分布式技术，多线程，SQL
研发项目经理（java）,12-15K·13薪,3-5年，本科,武汉·江夏区·光谷,带薪年假，五险一金，节日福利，餐补，股票期权，员工旅游，通讯补贴，住房补贴，包吃，年终奖，定期体检，交通补助,江西子楚科技有限公司,计算机软件，天使轮，0-20人,下肢残疾，Java，团队管理经验，分布式技术，架构师
金融软件开发,6-10K,1-3年，本科,烟台·芝罘区·毓璜顶,五险一金，保底工资，餐补，绩效奖金，带薪年假，节日福利,有为量化,计算机软件，未融资，0-20人,Python，Java，R语言
软件开发部经理,16-24K,5-10年，本科,厦门·集美区·灌口,生日福利，年终奖，节假日加班费，全勤奖，节日福利，零食下午茶，五险一金，法定节假日三薪，带薪年假，加班补助，绩效奖金，包吃，团建聚餐，定期体检,安捷睿机器人,仪器仪表/工业自动化，未融资，20-99人,自动化开发经验，电子电气/自动化相关专业，计算机相关专业
嵌入式软件开发,25-35K·15薪,5-10年，本科,上海·松江区·九亭,五险一金，节日福利，员工旅游，年终奖，定期体检，餐补，交通补助，带薪年假,逸动医学,医疗设备/器械，B轮，100-499人,C++，ARM开发，嵌入式/单片机开发经验，fpga，can
软件测试工程师,15-20K·14薪,3-5年，本科,南京,定期体检，通讯补贴，带薪年假，免费班车，年终奖，加班补助，五险一金，餐补,苏宁体育,互联网，D轮及以上，500-999人,测试，测试工程师，软件测试，性能测试，接口测试
软件测试工程师,5-10K,3-5年，本科,广州·天河区·天河公园,五险一金，员工旅游，带薪年假，零食下午茶，节日福利，定期体检,华喜科技,互联网，不需要融资，20-99人,性能测试，接口测试，Postman，Jmeter，功能测试
软件测试工程师,20-35K,1-3年，本科,大连·沙河口区·星海湾,,沙河口区壹柒零文...,休闲/娱乐，0-20人,功能测试，软件测试，性能测试
软件测试工程师,8-13K·13薪,3-5年，本科,苏州·吴中区·独墅湖,五险一金,图灵,企业服务，不需要融资，20-99人,自动化测试，QTP，LoadRunner，QC
软件测试工程师,3-8K,1-3年，大专,石家庄·新华区·高柱,,藤工,电子/半导体/集成电路，0-20人,功能测试，性能测试，通信相关专业，测试工作经验
软件测试工程师,9-13K,1-3年，本科,深圳·南山区·科技园,英语培训，餐补，零食下午茶，定期体检，团建聚餐，生日福利，五险一金，交通补助，补充医疗保险，员工旅游，节假日加班费，通讯补贴，带薪年假，节日福利，年终奖,萨基姆通讯,通信/网络设备，不需要融资，1000-9999人,嵌入式测试，PON，网关，路由器
软件测试工程师,15-30K,3-5年，本科,东莞·大朗镇·松山湖,餐补，五险一金，定期体检，股票期权，零食下午茶，员工旅游，加班补助，补充医疗保险，年终奖，节日福利,华为,计算机软件，不需要融资，10000人以上,自动化测试
软件测试工程师,6-11K,1-3年，大专,保定·竞秀区·电谷,节日福利，年终奖，零食下午茶，带薪年假，五险一金，员工旅游，加班补助,中科服,互联网，不需要融资，100-499人,测试工程师，功能测试，性能测试，LoadRunner，网络安全
软件测试工程师,8-13K·13薪,3-5年，本科,上海·静安区·曹家渡,,易成才教育科技有...,培训机构，500-999人,Python，Postman，JMeter
软件测试工程师,8-13K,1-3年，本科,北京·朝阳区·花家地,节日福利，团建聚餐，零食下午茶，带薪年假，法定节假日三薪,多诺科技,互联网，未融资，20-99人,功能测试，计算机相关专业，英语，财务
软件测试工程师,6-10K,1-3年，本科,北京·海淀区·上地,年终奖，五险一金，加班补助，节日福利，员工旅游，餐补，定期体检，全勤奖，带薪年假,云端微服,计算机软件，未融资，100-499人,禅道，测试工程师，软件测试，SQL
软件测试工程师,5-10K·13薪,1年以内，本科,青岛·崂山区·崂山风景区,,速科,通信/网络设备，100-499人,测试工程师，软件测试，功能测试，性能测试，自动化测试
软件测试工程师,14-20K,3-5年，本科,北京,五险一金，定期体检，带薪年假，员工旅游，节日福利,国控天成,仪器仪表/工业自动化，不需要融资,性能测试，MySQL，功能测试，LoadRunner，测试工程师
软件测试工程师,15-30K·14薪,经验不限，本科,深圳·龙岗区·坂田,离职补偿，节日福利，股票期权，交通补助，定期体检，零食下午茶，补充医疗保险，年终奖，带薪年假，住房补贴，员工旅游，免费班车，加班补助，全勤奖，通讯补贴，餐补，五险一金,华为技术有限公司,计算机软件，不需要融资，10000人以上,功能测试，性能测试，自动化测试，Java，Python，MySQL
软件测试工程师,12-20K·14薪,1-3年，本科,杭州·滨江区·长河,员工旅游，零食下午茶，补充医疗保险，节日福利，高温补贴，定期体检，五险一金，通讯补贴，餐补，年终奖，生日福利，带薪年假,华睿科技,计算机软件，未融资，500-999人,软件测试，功能测试，性能测试
软件测试工程师,7-12K,1-3年，本科,福州,结婚礼金，年终奖，员工旅游，定期体检，生日福利，六险一金，餐补，节日福利,顶点软件,计算机软件，已上市，1000-9999人,软件测试，LoadRunner
软件测试工程师,6-10K,1-3年，大专,杭州·西湖区,五险一金,国科云景,计算机软件，不需要融资，20-99人,功能测试，软件测试，性能测试
软件测试工程师,4-8K,1年以内，本科,南京·玄武区·孝陵卫,,普迈生物,制药，0-20人,测试工程师，软件测试，性能测试，功能测试，系统测试
软件测试工程师,7-9K,3-5年，本科,哈尔滨·松北区·世茂大道,交通补助，年终奖，五险一金，餐补,思灵机器人,智能硬件，B轮，20-99人,功能测试，性能测试，自动化测试，Java，JMeter，MySQL
